umich_user_id,hashed_session_cookie_id,server_timestamp,hashed_ip,user_agent,url,initial_referrer_url,browser_language,course_id,country_cd,region_cd,timezone,os,browser,key,value
ac0f295a5dfc41c87aa8f4865d35b0d00124fc19,9a2f0c129a93a10bc9151617f55675998bf13fc1,Thu Jan 01 03:05:06 EST 2015,be71d193d077b708402437fcae9736419e2f5f13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.1.17 (KHTML, like Gecko) Version/7.1 Safari/537.85.10",https://www.coursera.org/learn/negotiation-skills/lecture/8NvOu/introduction-to-psychological-tools-mythical-fixed-pie-assumption,https://uk-mg5.mail.yahoo.com/neo/launch?retry_ssl=1,en-us,v0l76HmGEeSi3yIACzSGcw,GD,,America/Grenada,Mac OS X,Safari,pageview,{}
c7e0b7e873392815abee61a53c231a1d5866a659,d8fe83dbeba4af9b001d3ad8f8aa8940b40e06ce,Thu Jan 01 03:05:25 EST 2015,64d473856d2caec33da6e02eda9c608d7a9a87e4,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/39.0.2171.65 Chrome/39.0.2171.65 Safari/537.36",https://www.coursera.org/learn/insidetheinternet,https://www.google.com/,"zh-CN,zh;q=0.8,en;q=0.6,zh-TW;q=0.4",2UHGXkNtEeSfwCIACxeXRw,US,IN,America/Indiana/Indianapolis,Ubuntu,Chromium,pageview,{}
bb116a9af763fa2f53139c1dfa851c760a667169,7ddb832b815685736d5ae2f9c7643f17aebe7182,Thu Jan 01 03:05:46 EST 2015,7708a07814cdec58094b42408fabcad34800869b,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",https://www.coursera.org/learn/negotiation-skills/outline,https://www.google.de/,"de-DE,de;q=0.8,en-US;q=0.6,en;q=0.4",v0l76HmGEeSi3yIACzSGcw,DE,HE,Europe/Berlin,Windows 7,Chrome,pageview,{}
bb116a9af763fa2f53139c1dfa851c760a667169,7ddb832b815685736d5ae2f9c7643f17aebe7182,Thu Jan 01 03:05:51 EST 2015,7708a07814cdec58094b42408fabcad34800869b,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",https://www.coursera.org/learn/negotiation-skills/lecture/6d4cE/psychological-tools-overconfidence,https://www.google.de/,"de-DE,de;q=0.8,en-US;q=0.6,en;q=0.4",v0l76HmGEeSi3yIACzSGcw,DE,HE,Europe/Berlin,Windows 7,Chrome,pageview,{}
665ae36273cd614008b2ef7a203867c901bf01d2,54620b3e3fa20977f6ee65904451000dd786eb5b,Thu Jan 01 03:05:56 EST 2015,56b6746181cbdeaf9984f814c012328fe680ff18,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",https://www.coursera.org/learn/negotiation-skills/lecture/el26b/a-dispute-resolution-or-deal-making-negotiation,,"fr-FR,fr;q=0.8,en-US;q=0.6,en;q=0.4",v0l76HmGEeSi3yIACzSGcw,CA,QC,America/Toronto,Windows 8.1,Chrome,pageview,{}
1066a697903937dcb2bba46698b65c9067602b13,9431b24e18b18ea6b5aea81920abd33fb9ce55ee,Thu Jan 01 03:06:21 EST 2015,65bd9edcd8e0e83778c61d2af5290be4cff9a4bc,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0,https://www.coursera.org/learn/negotiation-skills/lecture/2qWYi/adr-tools,,"en-US,en;q=0.5",v0l76HmGEeSi3yIACzSGcw,US,TX,America/Chicago,Windows 7,Firefox,pageview,{}
c7e0b7e873392815abee61a53c231a1d5866a659,d8fe83dbeba4af9b001d3ad8f8aa8940b40e06ce,Thu Jan 01 03:06:48 EST 2015,64d473856d2caec33da6e02eda9c608d7a9a87e4,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/39.0.2171.65 Chrome/39.0.2171.65 Safari/537.36",https://www.coursera.org/learn/insidetheinternet,https://www.google.com/,"zh-CN,zh;q=0.8,en;q=0.6,zh-TW;q=0.4",2UHGXkNtEeSfwCIACxeXRw,US,IN,America/Indiana/Indianapolis,Ubuntu,Chromium,pageview,{}
ba41844ae5dba3fe42d7cc13c124d68062656cd2,be2995de750dbb6be66de692c494158971d3660b,Thu Jan 01 03:06:56 EST 2015,3c2303ced52367eb860c5c4b8a0d8b2fb47a8a29,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B435 Safari/600.1.4",https://www.coursera.org/learn/negotiation-skills/lecture/yzGYu/analyzing-the-negotiation,,en-us,v0l76HmGEeSi3yIACzSGcw,US,TX,America/Chicago,iOS,Mobile Safari,pageview,{}
c7e0b7e873392815abee61a53c231a1d5866a659,d8fe83dbeba4af9b001d3ad8f8aa8940b40e06ce,Thu Jan 01 03:07:00 EST 2015,64d473856d2caec33da6e02eda9c608d7a9a87e4,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/39.0.2171.65 Chrome/39.0.2171.65 Safari/537.36",https://www.coursera.org/learn/insidetheinternet/lecture/H5xsU/welcome-to-class,https://www.google.com/,"zh-CN,zh;q=0.8,en;q=0.6,zh-TW;q=0.4",2UHGXkNtEeSfwCIACxeXRw,US,IN,America/Indiana/Indianapolis,Ubuntu,Chromium,pageview,{}
c43cc28e3cc1bcba91108a8d7363221e390da9cd,cd09ea076541584eaad669aaf2b2d755859f4d1c,Thu Jan 01 03:07:01 EST 2015,3d2718c86b7714ec5eb794efb9f8adf69e2dfb3e,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",https://www.coursera.org/learn/negotiation-skills/outline,,"pt-BR,pt;q=0.8,en-US;q=0.6,en;q=0.4",v0l76HmGEeSi3yIACzSGcw,BR,BA,America/Bahia,Windows 7,Chrome,pageview,{}
